Year,Pasture_Patch,Pasture_Patch_Year,Pasture_Patch_Year_Transect,Robel.N,Robel.E,Robel.S,Robel.W,Litter,Litter_2,Litter_3,Litter_depth,Bare,WSG,Fescue,Sedges,CSG,CSG_FEAR,Forbs,Legumes,Woody,Violets,Panic,Seed_cover,Seed_mix,SDV,TALLEST,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,4,6,7,8,86,0,0,0,16,63,0,63,16,0,63,3,0,0,0,0,0,0,0,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,7,7,9,9,86,0,0,0,3,63,0,86,3,0,86,0,38,3,0,0,0,0,0,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,7,7,8,8,63,0,0,0,16,63,0,3,0,0,86,3,3,0,0,0,0,0,0,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,6,8,8,7,63,0,0,0,16,86,0,0,3,0,63,0,16,0,0,0,0,0,0,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,9,7,8,9,86,0,0,0,16,86,0,0,0,0,63,0,0,3,0,0,0,0,0,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,8,9,8,7,63,0,0,0,3,63,0,0,0,0,86,0,38,3,0,0,0,0,0,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,6,7,5,8,38,0,0,0,16,63,0,0,16,0,86,63,0,0,0,0,0,0,0,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,9,9,11,8,63,0,0,0,3,38,0,0,1,0,86,16,0,3,0,0,0,0,0,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,7,9,9,8,38,0,0,0,38,63,0,98,16,0,86,0,0,0,0,0,0,0,0,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,6,7,7,6,86,0,0,0,3,16,0,0,0,0,86,3,0,3,0,0,0,0,0,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,9,10,10,10,86,0,0,0,16,86,0,0,0,0,63,0,0,0,0,0,0,0,0,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,6,7,9,8,86,0,0,0,3,38,0,0,0,0,86,16,3,0,0,0,0,0,0,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,7,7,8,9,63,0,0,0,16,63,0,98,1,0,86,16,3,0,0,0,0,0,0,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,6,7,7,8,38,0,0,0,63,86,0,98,16,0,86,63,16,0,0,0,0,0,0,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,6,10,10,9,86,0,0,0,16,38,0,98,16,0,38,0,0,0,0,0,0,0,0,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,9,7,7,7,16,0,0,0,86,1,0,98,3,0,86,0,16,3,0,0,0,0,0,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,8,8,7,8,38,0,0,0,63,16,0,38,16,0,86,0,0,16,0,0,0,0,0,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,9,8,8,7,16,0,0,0,86,38,0,0,98,0,3,1,16,38,0,0,0,0,0,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,10,8,8,7,16,0,0,0,86,38,0,86,16,0,86,16,0,3,0,0,0,0,0,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,8,9,10,7,16,0,0,0,38,16,0,98,3,0,86,0,63,3,0,0,0,0,0,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,9,10,9,9,98,0,0,0,1,63,0,16,63,0,16,0,0,0,0,0,0,0,0,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,8,8,6,8,86,0,0,0,0,3,0,16,86,0,38,0,0,0,0,0,0,0,0,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,7,10,7,8,38,0,0,0,63,16,0,0,3,0,86,0,0,0,0,0,0,0,0,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,9,8,10,8,63,0,0,0,16,16,0,86,16,0,86,0,16,0,0,0,0,0,0,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,9,7,5,7,63,0,0,0,38,16,0,98,3,0,86,3,16,0,0,0,0,0,0,,
2011,PAW_W,PAW_W_2011,PAW_W_2011,9,9,8,9,63,0,0,0,16,86,0,98,3,0,63,0,0,0,0,0,0,0,0,,
2011,PAW_S,PAW_S_2011,PAW_S_2011,6,6,6,7,63,0,0,0,16,38,0,63,16,0,86,0,16,0,0,0,0,0,0,,
2011,PAW_S,PAW_S_2011,PAW_S_2011,7,6,7,6,86,0,0,0,3,63,0,98,3,0,0,86,0,0,0,0,0,0,0,,
