NestID,Year,Species,Pasture,Patch,Patchsize_ha,Pasture_Patch_Year,PatchID,Treatment,Grazed,Sprayed,TSF,TSF_2,visitID,Visit#,Trials,Initiation,InitiationJulian,Date,JulianDate,JulDate_2,JulDate_3,ExpDays,Survive,Stage,HostEggs,HostChicks,ParasiteEggs,ParasiteChicks,#Chicks,ParasiteEggs?,ParasiteChicks?,Parasitised,NestSubstrate,SubstrateType,SubstrateGeneral,Conceal_above,Conceal_sides,Conceal_all,Substrate_ht,Substrate_wd,NestHt_rim,NestHt_bottom,CSG,FEAR,WSG,SDV,Forb,Legume,Bare,Wood,LitCov,MaxHt,#Shrubs,#PNShrubs,#PNClumps,#PNForbs,#PNSites,AvgLitDep,StDevLitDep,AvgRobel,StDevRobel,Patch%Herb,Patch%Imperv,Patch%Crop,Patch%Trees,Patch%Water,Pasture%Herb,Pasture%Imperv,Pasture%Crop,Pasture%Trees,Pasture%Water,Nest1000m_Herb,Nest1000m_Crop,Nest1000m_Trees,Nest1000m_TreesCrop,Nest500m_Herb,Nest500m_Crop,Nest500m_Trees,Nest500m_TreesCrop,Nest250m_Herb,Nest250m_Crop,Nest250m_Trees,Nest250m_CropTrees,TREE_DIST,TREE_DIST_2,CROP_DIST,CROP_DIST_2,ROAD_DIST,ROAD_DIST_2,1000m_treeedge,1000m_cropedge,1000m_roadedge,500m_treeedge,500m_cropedge,500m_roadedge,250m_treeedge,250m_cropedge,250_roadedge
LTR DICK 1 15,2015,DICK,LTR,C,131.64,LTR_C_2015,2015.LTR.C,SprayGrazeBurn,Yes,Yes,0,0,5587,1,1,6/16/15,167,7/1/15,182,33124,6028568,4,1,Incubation,2,0,0,0,0,0,0,0,Ironweed,Forb,Herbaceous,20,83.75,71,60,64,9.5,3,13.4,0.6,24.8,3,34.2,43.6,33.6,4.6,33.6,7.8,96,3,0,2,5,0,0,3.25,2.336776908,0.511669301,0.007374034,0.072732915,0.403506704,0.004717047,0.518682123,0.007048038,0.08476015,0.383714146,0.005795542,51.37787731,6.765440104,40.62835987,47.39379998,67.0434391,8.034712203,23.34157841,31.37629061,92.95541325,0.221703181,0.188344102,0.410047283,134.026294,17963.04748,235.819198,55610.69415,247.436622,61224.88191,82.68868,20.02685,13.43323,65.54829,15.16134,21.99694,47.077,2.98938,3.56546
LTR DICK 1 15,2015,DICK,LTR,C,131.64,LTR_C_2015,2015.LTR.C,SprayGrazeBurn,Yes,Yes,0,0,7211,2,1,6/16/15,167,7/4/15,185,34225,6331625,3,0,Nestling,1,1,0,0,0,0,0,0,Ironweed,Forb,Herbaceous,20,83.75,71,60,64,9.5,3,13.4,0.6,24.8,3,34.2,43.6,33.6,4.6,33.6,7.8,96,3,0,2,5,0,0,3.25,2.336776908,0.511669301,0.007374034,0.072732915,0.403506704,0.004717047,0.518682123,0.007048038,0.08476015,0.383714146,0.005795542,51.37787731,6.765440104,40.62835987,47.39379998,67.0434391,8.034712203,23.34157841,31.37629061,92.95541325,0.221703181,0.188344102,0.410047283,134.026294,17963.04748,235.819198,55610.69415,247.436622,61224.88191,82.68868,20.02685,13.43323,65.54829,15.16134,21.99694,47.077,2.98938,3.56546
LTR DICK 10 15,2015,DICK,LTR,C,131.64,LTR_C_2015,2015.LTR.C,SprayGrazeBurn,Yes,Yes,0,0,5626,2,1,7/15/15,196,7/21/15,202,40804,8242408,3,1,Laying,3,0,0,0,0,0,0,0,Buckbrush,Woody,Woody,65,95,89,84,80,23.5,13,48,3.8,3.8,12,76.4,4.4,45.8,14,50.8,12,65,5,0,1,6,0.6,1.487447478,10.45,3.546310165,0.511669301,0.007374034,0.072732915,0.403506704,0.004717047,0.518682123,0.007048038,0.08476015,0.383714146,0.005795542,57.52272747,4.433081057,36.9759237,41.40900476,76.34854293,0.455552249,22.0298779,22.48543015,82.22053433,0,3.990609382,3.990609382,77.745482,6044.359971,396.035516,156844.1299,321.938712,103644.5343,95.668,15.94825,14.83195,97.01975,3.34365,19.30577,83.41391,0,0
LTR DICK 10 15,2015,DICK,LTR,C,131.64,LTR_C_2015,2015.LTR.C,SprayGrazeBurn,Yes,Yes,0,0,5627,3,1,7/15/15,196,7/24/15,205,42025,8615125,3,1,Incubation,3,0,0,0,0,0,0,0,Buckbrush,Woody,Woody,65,95,89,84,80,23.5,13,48,3.8,3.8,12,76.4,4.4,45.8,14,50.8,12,65,5,0,1,6,0.6,1.487447478,10.45,3.546310165,0.511669301,0.007374034,0.072732915,0.403506704,0.004717047,0.518682123,0.007048038,0.08476015,0.383714146,0.005795542,57.52272747,4.433081057,36.9759237,41.40900476,76.34854293,0.455552249,22.0298779,22.48543015,82.22053433,0,3.990609382,3.990609382,77.745482,6044.359971,396.035516,156844.1299,321.938712,103644.5343,95.668,15.94825,14.83195,97.01975,3.34365,19.30577,83.41391,0,0
LTR DICK 10 15,2015,DICK,LTR,C,131.64,LTR_C_2015,2015.LTR.C,SprayGrazeBurn,Yes,Yes,0,0,5628,4,1,7/15/15,196,7/27/15,208,43264,8998912,3,1,Incubation,3,0,0,0,0,0,0,0,Buckbrush,Woody,Woody,65,95,89,84,80,23.5,13,48,3.8,3.8,12,76.4,4.4,45.8,14,50.8,12,65,5,0,1,6,0.6,1.487447478,10.45,3.546310165,0.511669301,0.007374034,0.072732915,0.403506704,0.004717047,0.518682123,0.007048038,0.08476015,0.383714146,0.005795542,57.52272747,4.433081057,36.9759237,41.40900476,76.34854293,0.455552249,22.0298779,22.48543015,82.22053433,0,3.990609382,3.990609382,77.745482,6044.359971,396.035516,156844.1299,321.938712,103644.5343,95.668,15.94825,14.83195,97.01975,3.34365,19.30577,83.41391,0,0
LTR DICK 10 15,2015,DICK,LTR,C,131.64,LTR_C_2015,2015.LTR.C,SprayGrazeBurn,Yes,Yes,0,0,5629,5,1,7/15/15,196,7/30/15,211,44521,9393931,3,1,Incubation,3,0,0,0,0,0,0,0,Buckbrush,Woody,Woody,65,95,89,84,80,23.5,13,48,3.8,3.8,12,76.4,4.4,45.8,14,50.8,12,65,5,0,1,6,0.6,1.487447478,10.45,3.546310165,0.511669301,0.007374034,0.072732915,0.403506704,0.004717047,0.518682123,0.007048038,0.08476015,0.383714146,0.005795542,57.52272747,4.433081057,36.9759237,41.40900476,76.34854293,0.455552249,22.0298779,22.48543015,82.22053433,0,3.990609382,3.990609382,77.745482,6044.359971,396.035516,156844.1299,321.938712,103644.5343,95.668,15.94825,14.83195,97.01975,3.34365,19.30577,83.41391,0,0
LTR DICK 10 15,2015,DICK,LTR,C,131.64,LTR_C_2015,2015.LTR.C,SprayGrazeBurn,Yes,Yes,0,0,5630,6,1,7/15/15,196,8/1/15,213,45369,9663597,2,1,Nestling,0,3,0,0,0,0,0,0,Buckbrush,Woody,Woody,65,95,89,84,80,23.5,13,48,3.8,3.8,12,76.4,4.4,45.8,14,50.8,12,65,5,0,1,6,0.6,1.487447478,10.45,3.546310165,0.511669301,0.007374034,0.072732915,0.403506704,0.004717047,0.518682123,0.007048038,0.08476015,0.383714146,0.005795542,57.52272747,4.433081057,36.9759237,41.40900476,76.34854293,0.455552249,22.0298779,22.48543015,82.22053433,0,3.990609382,3.990609382,77.745482,6044.359971,396.035516,156844.1299,321.938712,103644.5343,95.668,15.94825,14.83195,97.01975,3.34365,19.30577,83.41391,0,0
LTR DICK 10 15,2015,DICK,LTR,C,131.64,LTR_C_2015,2015.LTR.C,SprayGrazeBurn,Yes,Yes,0,0,5631,7,1,7/15/15,196,8/2/15,214,45796,9800344,1,1,Nestling,0,3,0,0,0,0,0,0,Buckbrush,Woody,Woody,65,95,89,84,80,23.5,13,48,3.8,3.8,12,76.4,4.4,45.8,14,50.8,12,65,5,0,1,6,0.6,1.487447478,10.45,3.546310165,0.511669301,0.007374034,0.072732915,0.403506704,0.004717047,0.518682123,0.007048038,0.08476015,0.383714146,0.005795542,57.52272747,4.433081057,36.9759237,41.40900476,76.34854293,0.455552249,22.0298779,22.48543015,82.22053433,0,3.990609382,3.990609382,77.745482,6044.359971,396.035516,156844.1299,321.938712,103644.5343,95.668,15.94825,14.83195,97.01975,3.34365,19.30577,83.41391,0,0
LTR DICK 10 15,2015,DICK,LTR,C,131.64,LTR_C_2015,2015.LTR.C,SprayGrazeBurn,Yes,Yes,0,0,5633,9,1,7/15/15,196,8/3/15,215,46225,9938375,1,1,Nestling,0,3,0,0,0,0,0,0,Buckbrush,Woody,Woody,65,95,89,84,80,23.5,13,48,3.8,3.8,12,76.4,4.4,45.8,14,50.8,12,65,5,0,1,6,0.6,1.487447478,10.45,3.546310165,0.511669301,0.007374034,0.072732915,0.403506704,0.004717047,0.518682123,0.007048038,0.08476015,0.383714146,0.005795542,57.52272747,4.433081057,36.9759237,41.40900476,76.34854293,0.455552249,22.0298779,22.48543015,82.22053433,0,3.990609382,3.990609382,77.745482,6044.359971,396.035516,156844.1299,321.938712,103644.5343,95.668,15.94825,14.83195,97.01975,3.34365,19.30577,83.41391,0,0
LTR DICK 10 15,2015,DICK,LTR,C,131.64,LTR_C_2015,2015.LTR.C,SprayGrazeBurn,Yes,Yes,0,0,5634,10,1,7/15/15,196,8/4/15,216,46656,10077696,1,1,Nestling,0,3,0,0,0,0,0,0,Buckbrush,Woody,Woody,65,95,89,84,80,23.5,13,48,3.8,3.8,12,76.4,4.4,45.8,14,50.8,12,65,5,0,1,6,0.6,1.487447478,10.45,3.546310165,0.511669301,0.007374034,0.072732915,0.403506704,0.004717047,0.518682123,0.007048038,0.08476015,0.383714146,0.005795542,57.52272747,4.433081057,36.9759237,41.40900476,76.34854293,0.455552249,22.0298779,22.48543015,82.22053433,0,3.990609382,3.990609382,77.745482,6044.359971,396.035516,156844.1299,321.938712,103644.5343,95.668,15.94825,14.83195,97.01975,3.34365,19.30577,83.41391,0,0
