visitID,Nest ID,Species,Visit Num,Date,Trials,Year,TimeofDay,Observers,Exposure days,Stage,Host Eggs,Host chicks,Parasite eggs,Parasite chicks,Banded,Camera,Measure,Survived,Abandoned,Predation,Fledge,EstFledglings,Predator,Camera type,Female on?,Human Visit,COMMENT
7773,235 COGR 1 21,COGR,0,6/14/21,,2021,9:00,"CER, TEC",,Nestling,0,3,0,0,,0,0,1,0,0,0,,,,0,,
7774,235 COGR 1 21,COGR,1,6/15/21,,2021,7:09,"CER,JJC",,Nestling,0,3,0,0,,1,0,1,0,0,0,,,,0,,day 6/7 and parent chipping
7775,235 COGR 1 21,COGR,2,6/15/21,,2021,12:00,"JJC,WPT,JNA",,Nestling,0,3,0,0,,1,0,1,0,0,0,,,,0,,remove camera
7776,235 COGR 1 21,COGR,3,6/15/21,,2021,13:20,"HKG, WPT",,Nestling,0,3,0,0,,0,1,1,0,0,0,,,,0,,measure chicks
7777,235 COGR 1 21,COGR,4,6/18/21,,2021,6:13,"JJC,JNA",,Fledged,0,2,0,0,,1,0,1,0,0,1,3,,,0,,film
7778,235 COGR 1 21,COGR,5,6/21/21,,2021,11:24,"HKG,CER",,Fledged,0,2,0,0,,0,0,1,0,0,1,3,,,0,,fledging
7968,235 DICK 1 21,DICK,0,6/2/21,,2021,7:11,ESK,,Laying,1,0,4,0,,0,0,1,0,0,0,,,,1,,
7969,235 DICK 1 21,DICK,1,6/5/21,,2021,9:52,"CER, WPT",,Incubating,5,0,5,0,,0,0,1,0,0,0,,,,1,,
7970,235 DICK 1 21,DICK,2,6/8/21,,2021,6:35,ESK,,Incubating,4,0,5,0,,0,0,1,0,0,0,,,,1,,
7368,KLN DICK 1 14,DICK,7,7/9/14,1,2014,6:38:00 AM,,3,Dead,0,0,0,0,0,0,,0,0,1,,,UNK,NONE,0,1,M chipping nearby
7729,235 DICK 10 21,DICK ,0,6/22/21,,2021,7:52,"JEM, HKG",,Incubating,3,0,1,0,,0,0,1,0,0,0,,,,1,,
7730,235 DICK 10 21,DICK ,1,6/27/21,,2021,12:15,WPT,,Incubating,2,0,2,0,,0,0,1,0,0,0,,,,1,,day 1/2
7731,235 DICK 10 21,DICK ,2,6/30/21,,2021,6:34,JEM,,Nestling,2,0,1,1,,0,0,0,0,0,0,,,,1,,photo foraging
7732,235 DICK 10 21,DICK ,3,7/4/21,,2021,6:30,JNA,,Nestling,1,0,1,1,,1,1,0,0,0,0,,,,1,,"day 5/6, film, measure"
7733,235 DICK 10 21,DICK ,4,7/5/21,,2021,6:08,"CER, JNA, JJC",,Nestling,1,0,1,1,,0,0,0,0,0,0,,,,0,,
7734,235 DICK 10 21,DICK ,5,7/8/21,,2021,7:11,"TEC, JNA",,Nestling,1,0,1,1,,0,0,0,0,0,0,,,,0,,
7244,KLT DICK 10 14,DICK,3,6/12/14,1,2014,12:56:00 PM,,3,Dead,0,0,1,0,0,0,,0,0,1,,,UNK,NONE,0,1,
7837,235 DICK 12 21,DICK,0,6/22/21,,2021,9:28,"HKG, JJC",,Incubating,3,0,2,0,,0,0,1,0,0,0,,,,1,,will hatch soon?
7838,235 DICK 12 21,DICK,1,6/27/21,,2021,11:49,"CER, HKG",,Nestling,1,0,1,1,,0,0,0,0,0,0,,,,1,,possibly more eggs - hard to see under nestlings
7839,235 DICK 12 21,DICK,2,6/28/21,,2021,6:50,"CER, MFM",,Nestling,1,0,1,1,,1,0,0,0,0,0,,,,0,,started filming
7840,235 DICK 12 21,DICK,3,6/28/21,,2021,12:07,"CER, HKG, WPT",,Nestling,1,1,1,1,,1,1,1,0,0,0,,,,0,,day 4/5 - measure?
7841,235 DICK 12 21,DICK,4,6/30/21,,2021,6:16,CER,,Nestling,0,1,1,1,,0,0,1,0,0,0,,,,0,,check this nest
7842,235 DICK 12 21,DICK,5,7/1/21,,2021,6:51,ESK,,Nestling,0,1,0,1,,0,0,1,0,0,0,,,,0,,
7843,235 DICK 12 21,DICK,6,7/2/21,,2021,10:40,CER,,Nestling,0,1,0,1,,0,0,1,0,0,0,,,,1,,
7844,235 DICK 12 21,DICK,7,7/6/21,,2021,6:14,CER,,Fledged,1,0,0,0,,0,0,1,0,0,1,1,,,0,,"parents chipping, couldn't find nest"
7850,235 DICK 14 21,DICK,0,6/27/21,,2021,10:52,ESK,,Laying,2,0,2,0,,0,0,1,0,0,0,,,,1,,needs candled
7851,235 DICK 14 21,DICK,1,6/30/21,,2021,6:21,MFM,,Incubating,3,0,2,0,,0,0,1,0,0,0,,,,1,,
7852,235 DICK 14 21,DICK,2,7/2/21,,2021,10:55,"ESK, CER",,Incubating,3,0,2,0,,0,0,1,0,0,0,,,,1,,
7853,235 DICK 14 21,DICK,3,7/6/21,,2021,6:23,CER,,Incubating,0,0,1,0,,0,0,0,0,0,0,,,,0,,
7854,235 DICK 14 21,DICK,4,7/9/21,,2021,11:52,CER,,Incubating,0,0,1,0,,0,0,0,0,0,0,,,,0,,
7855,235 DICK 14 21,DICK,5,7/11/21,,2021,7:40,CER,,Incubating,0,0,1,0,,0,0,0,0,0,0,,,,0,,
7245,KLT DICK 11 14,DICK,1,6/6/14,1,2014,12:13:00 PM,,3,Abandoned,0,0,1,0,0,0,,0,1,0,,,None,NONE,0,1,
7875,235 DICK 15 21,DICK,0,6/22/21,,2021,11:25,"JNA, MFM, JJC, WPT, TEC, CER, HKG, HSK",,Laying,2,0,2,0,,0,0,1,0,0,0,,,,1,,
7876,235 DICK 15 21,DICK,1,6/27/21,,2021,11:36,CER,,Incubating,3,0,2,0,,0,0,1,0,0,0,,,,1,,
7877,235 DICK 15 21,DICK,2,6/30/21,,2021,6:34,MFM,,Incubating,3,0,2,0,,0,0,1,0,0,0,,,,1,,
7878,235 DICK 15 21,DICK,3,7/2/21,,2021,10:19,TEC,,Incubating,3,0,2,0,,0,0,1,0,0,0,,,,1,,very close flush
7879,235 DICK 15 21,DICK,4,7/6/21,,2021,6:51,CER,,Nestling,0,3,0,2,,0,0,1,0,0,0,,,,0,,parents chipping. day 3?
7880,235 DICK 15 21,DICK,5,7/9/21,,2021,13:00,JJC,,Nestling,0,3,0,0,,0,1,1,0,0,0,,,,,,
7881,235 DICK 15 21,DICK,6,7/11/21,,2021,6:17,CER,,Nestling,0,2,0,2,,1,0,1,0,0,0,,,,0,,
7882,235 DICK 15 21,DICK,7,7/11/21,,2021,11:30,CER,,Nestling,0,2,0,2,,0,0,1,0,0,0,,,,0,,
7883,235 DICK 15 21,DICK,8,7/12/21,,2021,9:05,MFM,,Nestling,0,1,0,2,,0,0,1,0,0,0,,,,0,,
7884,235 DICK 15 21,DICK,9,7/13/21,,2021,8:01,JEM,,Nestling,0,1,0,2,,0,0,1,0,0,0,,,,0,,
7885,235 DICK 15 21,DICK,10,7/13/21,,2021,8:30,JEM,,Fledged,0,0,0,0,,0,0,1,0,0,1,1,,,0,,"male angry, female chippy"
7936,235 DICK 16 21,DICK,0,6/22/21,,2021,11:31,CER,,Incubating,3,0,2,0,,0,0,1,0,0,0,,,,0,,snake on eggs - female chipping
7937,235 DICK 16 21,DICK,1,6/27/21,,2021,12:26,WPT,,Nestling,0,0,2,1,,0,0,0,0,0,0,,,,1,,Day 1-2. Is this the snake nest? Yes
7938,235 DICK 16 21,DICK,2,6/30/21,,2021,7:02,JEM,,Nestling,0,0,1,0,,0,0,0,0,0,0,,,,0,,day 4. Nest looks bad. 
7246,KLT DICK 12 14,DICK,2,6/8/14,1,2014,11:55:00 AM,,3,Dead,0,0,0,0,0,0,,0,0,1,,,UNK,NONE,0,1,"Nest flattened, nothing inside"
7247,KLT DICK 13 14,DICK,2,6/9/14,1,2014,11:47:00 AM,,3,Abandoned,0,0,1,0,0,0,,0,1,0,,,None,NONE,0,1,
7945,235 DICK 19 21,DICK,0,7/1/21,,2021,10:42,"ESK, JJC, CER, JEM",,Incubating,3,0,2,0,,0,0,1,0,0,0,,,,1,,
7946,235 DICK 19 21,DICK,1,7/6/21,,2021,7:00,CER,,Incubating,3,0,2,0,,0,0,1,0,0,0,,,,1,,
7947,235 DICK 19 21,DICK,2,7/9/21,,2021,11:25,CER,,Incubating,3,0,2,0,,0,0,1,0,0,0,,,,0,,
7948,235 DICK 19 21,DICK,3,7/11/21,,2021,7:11,CER,,Incubating,2,0,1,0,,0,0,1,0,0,0,,,,1,,
7949,235 DICK 19 21,DICK,4,7/14/21,,2021,13:05,JEM,,Nestling,1,1,0,1,,0,0,1,0,0,0,,,,0,,day 1/2
7950,235 DICK 19 21,DICK,5,7/18/21,,2021,6:00,JJC,,Nestling,1,1,0,1,,1,0,1,0,0,0,,,,0,,day 6 film
7951,235 DICK 19 21,DICK,6,7/18/21,,2021,12:13,JEM,,Nestling,1,1,0,1,,0,1,1,0,0,0,,,,0,,
7952,235 DICK 19 21,DICK,7,7/21/21,,2021,6:37,JJC,,Fledged,0,0,0,0,,0,0,1,0,0,1,1,,,0,,
7912,235 DICK 2 21,DICK,0,6/5/21,,2021,7:49,"ESK, WPT",,Incubating,1,0,3,0,,0,0,1,0,0,0,,,,1,,female flushed three times while finding nest
7913,235 DICK 2 21,DICK,1,6/8/21,,2021,6:26,JNA,,Incubating,3,0,4,0,,0,0,1,0,0,0,,,,1,,
