visitID,Nest ID,Species,Visit Num,Date,Trials,Year_autoCalc,TimeofDay,Observers,Exposure days,Stage,Host Eggs,Host chicks,Parasite eggs,Parasite chicks,Banded,Camera,Measure,Survived,Abandoned,Predation,Fledge,Predator,Camera type,Female on?,Human Visit,COMMENT
3,PYW 3 12,,0,5/16/2012,1,,9:06:00 AM,,0,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,
4,PYW 3 12,,2,5/18/2012,1,,8:00:00 AM,,1,Incubation,5,0,0,0,0,1,,1,0,0,,None,Bullet,1,1,
5,PYW 3 12,,4,5/20/2012,1,,11:21:00 AM,,1,Incubation,5,0,0,0,1,1,,1,0,0,,None,Bullet,1,1,
6,PYS BOBO 1 12,,0,5/17/2012,1,,7:25:00 AM,,0,Incubation,6,0,0,0,0,0,,1,0,0,,None,NONE,1,1,
7,PYS BOBO 1 12,,1,5/20/2012,1,,10:16:00 AM,,3,Incubation,6,0,0,0,0,0,,1,0,1,,UNK,NONE,1,1,lost  3 host and parasitzed
8,PYW 1 12,,0,5/16/2012,1,,7:58:00 AM,,0,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,
9,PYW 1 12,,1,5/17/2012,1,,1:00:00 PM,,1,Incubation,5,0,0,0,0,0,,1,0,0,,None,Wal-mart,0,1,
10,PYW 1 12,,2,5/18/2012,1,,9:17:00 AM,,1,Incubation,5,0,0,0,0,1,,1,0,0,,None,Wal-mart,0,1,
12,PYW 3 12,,1,5/17/2012,1,,11:00:00 PM,,1,Incubation,5,0,0,0,0,1,,1,0,0,,None,Bullet,1,0,
13,PYW 1 12,,3,5/19/2012,1,,11:00:00 PM,,1,Nestling,0,5,0,0,1,1,,1,0,0,,None,Wal-mart,1,0,
14,PYW 3 12,,3,5/19/2012,1,,11:00:00 PM,,1,Incubation,5,0,0,0,1,1,,1,0,0,,None,Bullet,1,0,
15,PYS 3 12,,0,5/17/2012,1,,8:21:00 AM,,0,Incubation,4,0,1,0,0,0,,1,0,0,,None,Wal-mart,1,1,
