NestID,Year,Species,Pasture,Patch,Patchsize_ha,Pasture.Patch,Treatment,Grazed?,Sprayed?,TSF,TSF_2,visitID,Visit#,Trials,Initiation,InitiationJulian,Date,JulianDate,JulDate_2,JulDate_3,ExpDays,Survive,Stage,HostEggs,HostChicks,ParasiteEggs,ParasiteChicks,#Chicks,ParasiteEggs?,ParasiteChicks?,Parasitised?,NestSubstrate,SubstrateType,SubstrateGeneral,Substrate_ht,Substrate_wd,NestHt_rim,NestHt_bottom,Nest_CSG,Nest_FEAR,Nest_WSG,Nest_SDV,Nest_Forb,Nest_Legume,Nest_Bare,Nest_Wood,Nest_LitCov,Nest_MaxHt,Nest_#Shrubs,Nest_#PNShrubs,Nest_#PNClumps,Nest_#PNForbs,Nest_#PNSites,Nest_AvgLitDep,Nest_StDevLitDep,Nest_AvgRobel,Nest_StDevRobel,Patch%Herb,Patch%Imperv,Patch%Crop,Patch%Trees,Patch%Water,Pasture%Herb,Pasture%Imperv,Pasture%Crop,Pasture%Trees,Pasture%Water,Nest1000m_Herb,Nest1000m_Crop,Nest1000m_Trees,Nest1000m_TreesCrop,Nest500m_Herb,Nest500m_Crop,Nest500m_Trees,Nest500m_TreesCrop,Nest250m_Herb,Nest250m_Crop,Nest250m_Trees,Nest250m_CropTrees,TREE_DIST,TREE_DIST_2,CROP_DIST,CROP_DIST_2,ROAD_DIST,ROAD_DIST_2,1000m_treeedge,1000m_cropedge,1000m_roadedge,500m_treeedge,500m_cropedge,500m_roadedge,250m_treeedge,250m_cropedge,250_roadedge
GIL DICK 1 13,2013,DICK,GIL,C,113.66,GIL.C,GrazeBurn,Yes,No,1,1,3507,1,1,6/14/13,165,7/1/13,182,33124,6028568,3,1,Incubation,2,0,3,0,3,1,0,1,Osage orange,Woody,Woody,0,0,26,18,88.4,88.4,0,,17.8,1.6,4.8,28.4,93.2,,,,,,,3.5,3.186887196,5.8,2.166734142,0.61504227,0.009028134,0.191495826,0.166840032,0.017593739,0.619393457,0.011792725,0.17818915,0.174205017,0.016419651,57.72586148,23.35517445,15.77589468,39.13106914,61.54476664,21.51431833,15.05925971,36.57357804,62.78105195,27.89129836,0.091589225,27.98288758,27.677934,766.0680305,21.667427,469.4773928,396.69325,157365.5346,43.92737,85.72269,21.8228,39.6232,37.00768,16.55313,32.4462,60.70498,0
GIL DICK 1 13,2013,DICK,GIL,C,113.66,GIL.C,GrazeBurn,Yes,No,1,1,4456,2,1,6/14/13,165,7/4/13,185,34225,6331625,3,0,Nestling,0,2,1,2,3,1,1,1,Osage orange,Woody,Woody,0,0,26,18,88.4,88.4,0,,17.8,1.6,4.8,28.4,93.2,,,,,,,3.5,3.186887196,5.8,2.166734142,0.61504227,0.009028134,0.191495826,0.166840032,0.017593739,0.619393457,0.011792725,0.17818915,0.174205017,0.016419651,57.72586148,23.35517445,15.77589468,39.13106914,61.54476664,21.51431833,15.05925971,36.57357804,62.78105195,27.89129836,0.091589225,27.98288758,27.677934,766.0680305,21.667427,469.4773928,396.69325,157365.5346,43.92737,85.72269,21.8228,39.6232,37.00768,16.55313,32.4462,60.70498,0
GIL DICK 2 13,2013,DICK,GIL,S,113.66,GIL.S,GrazeBurn,Yes,No,1,1,4457,1,1,6/22/13,173,7/5/13,186,34596,6434856,3,0,Incubation,4,0,1,0,1,1,0,1,Osage orange,Woody,Woody,,,24,16.5,70.6,58.2,0.6,,33.6,7.6,10.8,12.6,76.8,,,,,,,0.25,0.559016994,3.5,1.468977446,0.587235058,0.00917265,0.202595903,0.188342355,0.012654034,0.619393457,0.011792725,0.17818915,0.174205017,0.016419651,55.36316288,25.05323828,17.26692287,42.32016115,63.31891069,16.32039668,18.06703739,34.38743407,74.87054388,9.932689183,0.107235712,10.03992489,79.389637,6302.714463,29.759893,885.6512314,179.237888,32126.22049,41.60501,84.13968,22.72123,47.16363,30.70418,25.13535,41.96845,61.67339,40.09541
GIL DICK 3 13,2013,DICK,GIL,C,113.66,GIL.C,GrazeBurn,Yes,No,1,1,3510,1,1,7/13/13,194,7/20/13,201,40401,8120601,3,1,Incubation,3,0,1,0,1,1,0,1,Osage orange,Woody,Woody,,,18.5,14,88.4,79.2,0.8,,29.2,6.4,8.2,7.6,93.2,,,,,,,1.4,1.257477634,5.6,1.69829636,0.61504227,0.009028134,0.191495826,0.166840032,0.017593739,0.619393457,0.011792725,0.17818915,0.174205017,0.016419651,57.62527684,22.93887251,16.74041629,39.67928881,62.87826062,18.98278022,16.11953733,35.10231755,71.66405318,19.60224834,0.109852494,19.71210083,64.525192,4163.500403,74.747728,5587.222841,342.912,117588.6397,41.54499,85.51606,22.46493,39.28893,36.5278,19.73224,70.9791,37.55155,0
GIL DICK 3 13,2013,DICK,GIL,C,113.66,GIL.C,GrazeBurn,Yes,No,1,1,3511,2,1,7/13/13,194,7/24/13,205,42025,8615125,4,1,Incubation,3,0,1,0,1,1,0,1,Osage orange,Woody,Woody,,,18.5,14,88.4,79.2,0.8,,29.2,6.4,8.2,7.6,93.2,,,,,,,1.4,1.257477634,5.6,1.69829636,0.61504227,0.009028134,0.191495826,0.166840032,0.017593739,0.619393457,0.011792725,0.17818915,0.174205017,0.016419651,57.62527684,22.93887251,16.74041629,39.67928881,62.87826062,18.98278022,16.11953733,35.10231755,71.66405318,19.60224834,0.109852494,19.71210083,64.525192,4163.500403,74.747728,5587.222841,342.912,117588.6397,41.54499,85.51606,22.46493,39.28893,36.5278,19.73224,70.9791,37.55155,0
GIL DICK 3 13,2013,DICK,GIL,C,113.66,GIL.C,GrazeBurn,Yes,No,1,1,3512,3,1,7/13/13,194,7/27/13,208,43264,8998912,3,1,Incubation,3,0,1,0,1,1,0,1,Osage orange,Woody,Woody,,,18.5,14,88.4,79.2,0.8,,29.2,6.4,8.2,7.6,93.2,,,,,,,1.4,1.257477634,5.6,1.69829636,0.61504227,0.009028134,0.191495826,0.166840032,0.017593739,0.619393457,0.011792725,0.17818915,0.174205017,0.016419651,57.62527684,22.93887251,16.74041629,39.67928881,62.87826062,18.98278022,16.11953733,35.10231755,71.66405318,19.60224834,0.109852494,19.71210083,64.525192,4163.500403,74.747728,5587.222841,342.912,117588.6397,41.54499,85.51606,22.46493,39.28893,36.5278,19.73224,70.9791,37.55155,0
GIL DICK 3 13,2013,DICK,GIL,C,113.66,GIL.C,GrazeBurn,Yes,No,1,1,4458,4,1,7/13/13,194,7/28/13,209,43681,9129329,1,0,Incubation,3,0,0,0,0,0,0,0,Osage orange,Woody,Woody,,,18.5,14,88.4,79.2,0.8,,29.2,6.4,8.2,7.6,93.2,,,,,,,1.4,1.257477634,5.6,1.69829636,0.61504227,0.009028134,0.191495826,0.166840032,0.017593739,0.619393457,0.011792725,0.17818915,0.174205017,0.016419651,57.62527684,22.93887251,16.74041629,39.67928881,62.87826062,18.98278022,16.11953733,35.10231755,71.66405318,19.60224834,0.109852494,19.71210083,64.525192,4163.500403,74.747728,5587.222841,342.912,117588.6397,41.54499,85.51606,22.46493,39.28893,36.5278,19.73224,70.9791,37.55155,0
GIL DICK 4 13,2013,DICK,GIL,S,113.66,GIL.S,GrazeBurn,Yes,No,1,1,3514,1,1,7/13/13,194,7/20/13,201,40401,8120601,3,1,Laying,3,0,2,0,2,1,0,1,Osage orange,Woody,Woody,,,,,90.8,67.2,0,,29.2,4,2,12.6,98,,,,,,,1.45,1.021640837,6.65,2.924938146,0.587235058,0.00917265,0.202595903,0.188342355,0.012654034,0.619393457,0.011792725,0.17818915,0.174205017,0.016419651,56.28088041,22.75834787,18.74112287,41.49947074,65.01011747,13.53788691,18.86185675,32.39974366,79.60653826,4.819080097,0.212496618,5.031576715,55.718966,3104.603172,118.258758,13985.13384,129.809321,16850.45982,102.34442,40.83662,22.96498,116.12298,30.27094,25.99939,119.78809,51.23585,48.89145
GIL DICK 4 13,2013,DICK,GIL,S,113.66,GIL.S,GrazeBurn,Yes,No,1,1,3515,2,1,7/13/13,194,7/24/13,205,42025,8615125,4,1,Incubation,4,0,2,0,2,1,0,1,Osage orange,Woody,Woody,,,,,90.8,67.2,0,,29.2,4,2,12.6,98,,,,,,,1.45,1.021640837,6.65,2.924938146,0.587235058,0.00917265,0.202595903,0.188342355,0.012654034,0.619393457,0.011792725,0.17818915,0.174205017,0.016419651,56.28088041,22.75834787,18.74112287,41.49947074,65.01011747,13.53788691,18.86185675,32.39974366,79.60653826,4.819080097,0.212496618,5.031576715,55.718966,3104.603172,118.258758,13985.13384,129.809321,16850.45982,102.34442,40.83662,22.96498,116.12298,30.27094,25.99939,119.78809,51.23585,48.89145
GIL DICK 4 13,2013,DICK,GIL,S,113.66,GIL.S,GrazeBurn,Yes,No,1,1,3516,3,1,7/13/13,194,7/27/13,208,43264,8998912,3,1,Incubation,4,0,2,0,2,1,0,1,Osage orange,Woody,Woody,,,,,90.8,67.2,0,,29.2,4,2,12.6,98,,,,,,,1.45,1.021640837,6.65,2.924938146,0.587235058,0.00917265,0.202595903,0.188342355,0.012654034,0.619393457,0.011792725,0.17818915,0.174205017,0.016419651,56.28088041,22.75834787,18.74112287,41.49947074,65.01011747,13.53788691,18.86185675,32.39974366,79.60653826,4.819080097,0.212496618,5.031576715,55.718966,3104.603172,118.258758,13985.13384,129.809321,16850.45982,102.34442,40.83662,22.96498,116.12298,30.27094,25.99939,119.78809,51.23585,48.89145
