ele,time,geoidheigh,name,type,Patch,Latitude,Longitude,Year,Pasture
344.548705999999981,2021/06/14 13:57:49.000,,235 AMRO 1 21,user,235_S,4505441.86000000,407478.24840000,"2021","235"
348.807861000000003,2021/06/14 13:59:10.000,,235 COGR 1 21,user,235_S,4505434.03700000,407509.33040000,"2021","235"
342.280609000000027,2021/06/02 12:10:38.000,,235 DICK 1 21,user,235_N,4506325.49600000,407487.82470000,"2021","235"
348.945312000000001,2021/06/22 12:53:42.000,,235 DICK 10 21,user,235_C,4506023.37800000,407810.22080000,"2021","235"
365.804504000000009,2021/06/22 14:25:42.000,,235 DICK 12 21,user,235_N,4506299.73200000,407648.88590000,"2021","235"
349.913269000000014,2021/06/22 13:20:25.000,,235 DICK 13 21,user,235_C,4506245.77300000,407764.39890000,"2021","235"
346.261719000000028,2021/06/23 15:50:33.000,,235 DICK 14 21,user,235_N,4506333.96000000,407476.18800000,"2021","235"
355.649474999999995,2021/06/23 16:18:01.000,,235 DICK 15 21,user,235_C,4505695.64200000,407729.42230000,"2021","235"
359.778258999999991,2021/06/23 15:40:29.000,,235 DICK 16 21,user,235_C,4505899.92600000,407622.36570000,"2021","235"
355.447234999999978,2021/06/23 16:46:20.000,,235 DICK 17 21,user,235_C,4505670.15800000,407734.26180000,"2021","235"
359.998900999999989,2021/06/05 12:55:38.000,,235 DICK 2 21,user,235_N,4506269.03800000,407652.81710000,"2021","235"
352.537108999999987,2021/06/05 14:04:01.000,,235 DICK 3 21,user,235_C,4506168.48000000,407802.39110000,"2021","235"
355.111785999999995,2021/06/11 11:21:38.000,,235 DICK 4 21,user,235_C,4506251.09000000,407676.50340000,"2021","235"
343.517089999999996,2021/06/12 13:24:17.000,,235 DICK 5 21,user,235_N,4506392.43600000,407363.78000000,"2021","235"
342.872406000000012,2021/06/16 11:13:22.000,,235 DICK 6 21,user,235_N,4506385.61500000,407349.58730000,"2021","235"
346.863739000000010,2021/06/16 12:50:30.000,,235 DICK 7 21,user,235_C,4505684.64900000,407810.48980000,"2021","235"
353.212097000000028,2021/06/18 11:49:07.000,,235 DICK 8 21,user,235_C,4506264.49200000,407777.47170000,"2021","235"
357.846649000000014,2021/06/22 12:56:38.000,,235 DICK 9 21,user,235_S,4505430.27900000,407668.40410000,"2021","235"
349.913269000000014,2021/06/22 13:20:25.000,,235 DICK 11 21,user,235_C,4506245.77300000,407764.39890000,"2021","235"
350.212401999999997,2021/06/14 13:04:41.000,,235 EAKI 1 21,user,235_S,4505459.43400000,407573.45060000,"2021","235"
353.860167999999987,2021/05/31 13:30:57.000,,235 EAME 1 21,user,235_C,4505804.94100000,407796.69230000,"2021","235"
352.542693999999983,2021/06/22 15:04:38.000,,235 EAME 2 21,user,235_C,4506220.57600000,407728.93640000,"2021","235"
358.174132999999983,2021/06/12 14:17:29.000,,235 FISP 1 21,user,235_C,4505908.56200000,407642.50280000,"2021","235"
351.540924000000018,2021/06/02 13:00:38.000,,235 GRSP 1 21,user,235_N,4506239.86600000,407321.23040000,"2021","235"
354.150574000000006,2021/06/03 13:07:37.000,,235 GRSP 2 21,user,235_N,4506213.10300000,407365.84760000,"2021","235"
351.631348000000003,2021/06/08 12:37:45.000,,235 GRSP 3 21,user,235_C,4506044.37400000,407488.46370000,"2021","235"
350.004821999999990,2021/06/14 14:38:27.000,,235 GRSP 4 21,user,235_C,4505690.81100000,407440.20020000,"2021","235"
366.555969000000005,2021/06/03 12:57:18.000,,235 RWBL 1 21,user,235_N,4506375.00800000,407327.81890000,"2021","235"
346.757690000000025,2021/06/12 13:27:47.000,,235 RWBL 2 21,user,235_C,4506142.57400000,407814.23680000,"2021","235"
343.631226000000026,2021/06/12 16:06:34.000,,235 RWBL 3 21,user,235_N,4506343.88900000,407490.41950000,"2021","235"
345.508118000000024,2021/06/14 13:26:21.000,,235 RWBL 4 21,user,235_S,4505382.82300000,407529.73620000,"2021","235"
346.866271999999981,2021/06/16 12:35:56.000,,235 RWBL 5 21,user,235_C,4505873.44000000,407805.82280000,"2021","235"
346.396362000000011,2021/06/14 14:18:19.000,,235 RWBL 6 21,user,235_S,4505446.41700000,407486.67020000,"2021","235"
347.027985000000001,2021/06/21 16:18:24.000,,235 RWBL 7 21,user,235_S,4505481.41600000,407475.53280000,"2021","235"
353.743469000000005,2021/06/21 15:08:08.000,,235 UNKN 1 21,user,235_C,4506266.25500000,407778.59130000,"2021","235"
345.941802999999993,2021/06/03 13:46:24.000,,BSH FISP 1 21,user,BSH_S,4504857.06400000,410478.40830000,"2021",BSH
347.464508000000023,2021/06/02 14:49:01.000,,GIL DICK 1 21,user,GIL_S,4492989.59400000,404994.70050000,"2021",GIL
343.536773999999980,2021/06/27 15:12:38.000,,GIL DICK 2 21,user,GIL_C,4493107.45100000,404815.39690000,"2021",GIL
