Veg ID,Nest ID,Year,Direction,Distance,CSG,CSG w/FEAR,FEAR,WSG,SDV,FORB,LEGUME,WOOD,BARE,COVLIT,MaxHeight,LITDEPTH,LITDEPTH2,LITDEPTH3,Robel1,Robel2,Robel3,Robel4
15,KLN 1 11,,N,9,16,,3,38,,16,3,0,16,63,,2,,,1,2,2,2
16,KLN 1 11,,E,10,16,,0,16,,38,3,0,16,86,,1.75,,,3,1,2,1
17,KLN 1 11,,S,7,38,,16,3,,38,0,0,3,86,,6.5,,,3,4,5,4
18,KLN 1 11,,W,8,38,,16,3,,38,16,0,16,86,,0.75,,,3,2,1,2
19,KLN 1 11,,N,5,16,,16,16,,38,3,0,3,86,,2.75,,,3,2,3,2
20,KLN 1 11,,E,1,16,,16,16,,38,3,0,16,63,,6.25,,,2,2,2,4
21,KLN 1 11,,S,4,63,,0,3,,63,3,0,3,86,,3.25,,,3,2,2,2
22,KLN 1 11,,W,3,38,,16,16,,38,3,0,3,86,,3.75,,,3,4,2,1
23,KLN 1 11,,cup,0,38,,38,16,,38,3,0,16,86,,4.25,,,2,2,2,1
24,KLN 2 11,,N,9,0,,0,63,,3,16,0,3,86,,5,,,4,2,3,1
25,KLN 2 11,,E,8,0,,0,86,,16,1,0,0,98,,13.25,,,4,4,3,3
26,KLN 2 11,,S,10,0,,0,86,,1,0,0,0,98,,15.75,,,4,4,5,4
27,KLN 2 11,,W,7,3,,0,63,,3,1,0,3,86,,3.25,,,3,2,3,3
28,KLN 2 11,,N,4,0,,0,63,,3,0,0,3,98,,6,,,3,2,3,4
29,KLN 2 11,,E,1,0,,0,63,,3,0,0,3,86,,7.75,,,4,3,3,2
30,KLN 2 11,,S,5,3,,3,63,,3,0,0,3,98,,10.75,,,4,2,3,3
31,KLN 2 11,,W,3,0,,0,63,,16,3,0,3,86,,10,,,2,2,3,3
32,KLN 2 11,,cup,0,0,,0,63,,3,0,0,3,86,,10.25,,,2,2,1,2
33,KLN 3 11,,N,4,3,,0,16,,63,3,0,63,16,,0,,,3,3,4,3
34,KLN 3 11,,E,5,16,,3,63,,63,16,0,38,38,,1,,,6,4,3,3
35,KLN 3 11,,S,1,16,,0,16,,38,3,0,63,16,,0.75,,,1,1,1,2
36,KLN 3 11,,W,2,3,,1,16,,16,3,0,63,16,,0,,,1,1,1,3
37,KLN 3 11,,N,6,16,,3,16,,38,3,0,38,16,,1.5,,,5,2,2,3
38,KLN 3 11,,E,7,0,,0,38,,38,16,0,63,16,,0.25,,,2,2,2,2
39,KLN 3 11,,S,10,3,,0,38,,63,0,0,38,16,,1.25,,,1,1,1,1
40,KLN 3 11,,W,9,3,,0,16,,38,3,0,63,16,,0,,,2,2,1,2
41,KLN 3 11,,cup,0,3,,3,38,,16,0,0,38,38,,0.25,,,2,2,4,1
42,KLN 4 11,,N,1,16,,16,38,,16,3,0,0,86,,3.25,,,1,2,2,3
43,KLN 4 11,,E,4,38,,16,3,,16,3,0,38,63,,0.5,,,1,1,1,1
44,KLN 4 11,,S,3,38,,38,16,,3,16,0,3,86,,2,,,2,1,1,2
45,KLN 4 11,,W,2,63,,38,38,,16,3,0,3,86,,4.75,,,2,3,3,2
46,KLN 4 11,,N,6,16,,16,16,,16,3,0,0,83,,4,,,3,3,2,3
47,KLN 4 11,,E,10,38,,3,16,,3,0,0,38,38,,1.5,,,2,1,2,1
48,KLN 4 11,,S,8,16,,3,38,,16,0,0,3,86,,1.5,,,2,2,2,2
49,KLN 4 11,,W,9,63,,63,3,,16,0,0,0,86,,7,,,4,3,3,8
50,KLN 4 11,,cup,0,38,,38,16,,16,3,0,0,86,,2,,,3,2,2,2
52,KLN 5 11,,N,5,3,,0,38,,3,3,0,86,3,,1.5,,,2,2,2,3
53,KLN 5 11,,E,2,16,,3,16,,16,3,0,38,38,,0,,,3,2,2,3
54,KLN 5 11,,S,4,3,,3,63,,38,16,0,16,63,,0.25,,,3,2,2,3
55,KLN 5 11,,W,1,16,,0,38,,16,3,0,63,16,,0,,,1,3,1,1
56,KLN 5 11,,N,8,16,,16,38,,3,38,0,16,38,,0.25,,,2,2,3,2
57,KLN 5 11,,E,7,38,,0,16,,3,3,0,38,16,,0,,,1,2,4,2
58,KLN 5 11,,S,10,3,,3,38,,16,3,0,16,63,,0,,,3,3,2,2
59,KLN 5 11,,W,6,38,,0,16,,16,16,0,16,63,,0.5,,,1,2,3,2
60,KLN 5 11,,cup,0,16,,3,16,,16,0,0,38,16,,0,,,3,2,2,4
61,KLN 6 11,,N,9,16,,3,38,,16,3,0,3,86,,1,,,2,2,3,3
62,KLN 6 11,,E,8,0,,0,38,,16,0,0,86,3,,0,,,2,1,2,2
63,KLN 6 11,,S,6,16,,0,38,,16,3,0,63,16,,0.25,,,2,1,2,2
64,KLN 6 11,,W,10,38,,0,38,,38,0,0,0,86,,8.75,,,4,4,2,4
65,KLN 6 11,,N,3,38,,0,16,,38,0,0,16,63,,0.25,,,2,1,3,2
66,KLN 6 11,,E,4,16,,3,16,,38,3,0,63,16,,0,,,2,2,1,2
67,KLN 6 11,,S,5,16,,0,16,,38,16,0,38,63,,4,,,2,2,2,2
68,KLN 6 11,,W,2,16,,0,38,,16,0,0,3,86,,2.25,,,2,2,2,2
69,KLN 6 11,,cup,0,3,,0,16,,3,0,0,0,86,,8,,,1,1,1,1
70,KLN 7 11,,N,10,38,,16,16,,16,3,0,16,38,,0.75,,,1,1,1,2
71,KLN 7 11,,E,7,0,,0,38,,16,3,0,86,3,,1,,,1,1,1,2
72,KLN 7 11,,S,6,0,,0,63,,16,3,0,63,16,,1.5,,,1,1,1,1
73,KLN 7 11,,W,8,16,,3,16,,38,16,0,63,16,,2,,,1,1,1,1
74,KLN 7 11,,N,1,16,,16,38,,3,3,0,63,16,,0,,,2,1,1,2
75,KLN 7 11,,E,5,0,,0,38,,16,3,0,86,16,,0,,,2,2,2,1
76,KLN 7 11,,S,3,3,,0,63,,16,3,0,38,16,,0,,,2,2,2,2
77,KLN 7 11,,W,2,16,,3,38,,38,3,0,38,38,,0,,,2,1,3,1
78,KLN 7 11,,cup,0,38,,0,38,,0,16,0,38,38,,1,,,1,1,2,1
79,KLN 8 11,,N,6,0,,0,63,,16,0,0,3,86,,9.25,,,3,2,4,3
80,KLN 8 11,,E,10,0,,0,63,,16,0,0,38,63,,1.25,,,3,3,3,2
81,KLN 8 11,,S,9,3,,0,63,,16,3,0,3,86,,7,,,4,3,4,5
82,KLN 8 11,,W,7,0,,0,63,,16,3,0,0,86,,12,,,3,2,2,4
83,KLN 8 11,,N,2,3,,0,63,,16,0,0,3,86,,16.75,,,3,3,3,3
84,KLN 8 11,,E,3,3,,0,86,,16,0,0,3,98,,8,,,4,3,2,4
85,KLN 8 11,,S,4,0,,0,63,,16,0,0,0,98,,18,,,4,3,4,2
86,KLN 8 11,,W,5,0,,0,63,,3,1,0,0,86,,7.5,,,3,3,2,3
87,KLN 8 11,,cup,0,3,,3,63,,16,3,0,16,63,,9,,,1,2,2,3
89,KLN 9 11,,N,6,38,,3,16,,38,0,0,3,86,,4.25,,,2,1,2,2
90,KLN 9 11,,E,8,0,,0,63,,16,3,0,0,98,,12,,,3,3,3,3
91,KLN 9 11,,S,9,16,,0,63,,38,0,0,3,86,,0.25,,,4,2,2,2
92,KLN 9 11,,W,7,63,,38,0,,38,3,0,0,86,,3.5,,,2,2,2,4
93,KLN 9 11,,N,1,38,,16,0,,38,3,0,16,86,,0.25,,,2,2,1,1
94,KLN 9 11,,E,3,38,,3,0,,63,0,0,3,86,,4.75,,,2,1,3,2
95,KLN 9 11,,S,2,63,,38,3,,16,3,0,3,86,,17.75,,,4,3,3,4
96,KLN 9 11,,W,4,38,,16,3,,38,3,0,3,86,,6,,,3,2,2,1
97,KLN 9 11,,cup,0,38,,38,16,,16,0,0,3,86,,16,,,2,2,2,2
98,KLN 10 11,,N,7,3,,0,63,,16,0,0,3,86,,6.25,,,4,5,3,4
99,KLN 10 11,,E,8,16,,0,63,,16,1,0,3,86,,2.25,,,4,3,3,2
100,KLN 10 11,,S,6,3,,0,38,,16,3,0,16,63,,0.25,,,2,3,3,3
101,KLN 10 11,,W,8,0,,0,63,,16,3,0,3,86,,9.25,,,5,4,4,4
102,KLN 10 11,,N,2,1,,0,63,,16,0,0,3,86,,17.75,,,4,4,4,4
103,KLN 10 11,,E,4,3,,0,63,,16,0,0,16,86,,0.5,,,3,3,3,2
104,KLN 10 11,,S,3,3,,0,63,,16,3,0,16,86,,0.75,,,3,4,4,3
105,KLN 10 11,,W,5,3,,0,38,,3,0,0,0,86,,7,,,3,3,4,4
106,KLN 10 11,,cup,0,0,,0,38,,16,0,0,16,63,,7,,,2,3,2,2
107,KLN 11 11,,N,6,0,,0,63,,16,16,0,0,98,,2.75,,,3,6,4,6
108,KLN 11 11,,E,7,63,,63,16,,16,16,0,38,38,,0.5,,,3,7,5,5
109,KLN 11 11,,S,10,0,,0,63,,0,0,0,0,98,,2.5,,,7,6,5,6
110,KLN 11 11,,W,9,0,,0,63,,16,0,0,16,86,,12.75,,,6,5,8,8
