Pasture,Patch,Year,NestID,Species,SpeciesNum,MeasureDate,TimeMeasured,NestlingAge_days,NestlingMass_g,Tarsus1,Tarsus2,Tarsus3,Mean Tarsus,Resid_MassVsTarsus_2014to2016,Resid_MassVsTarsus_2014to2015,AnyUnweighed,NestlingComments_D1
KLT,S,2014,KLT DICK 15 14,DICK,DICK1,6/22/2014,14,6,13,,,,17.71,0.721244391,0.646181532,N,
KLT,S,2014,KLT DICK 15 14,DICK,DICK2,6/22/2014,14,6,16.1,,,,19.54,1.813768285,1.717447719,N,Appeared to be contemplating jumping out
KLT,S,2014,KLT DICK 64 14,DICK,DICK1,7/28/2014,11.15,5,13,,,,17.99,0.414089577,0.335774173,N,
KLT,S,2014,KLT DICK 16 14,DICK,DICK1,6/29/2014,13.55,6,10,,,,18.19,-2.805306719,-2.88594537,N,
KLT,S,2014,KLT DICK 36 14,DICK,DICK1,7/5/2014,17.5,5,11.8,,,,17.8,-0.577483942,-0.653592262,N,
KLT,S,2014,KLT DICK 27 14,DICK,DICK1,6/23/2014,12.72,6,11.3,,,,16.62,0.216954203,0.154553039,N,
KLT,S,2014,KLT DICK 27 14,DICK,DICK2,6/23/2014,12.72,6,15.6,,,,19.69,1.149221063,1.051158062,N,
KLT,S,2014,KLT DICK 27 14,DICK,DICK3,6/23/2014,12.72,6,15.8,,,,20.61,0.339998102,0.231248167,N,
KLT,S,2014,KLT DICK 27 14,DICK,DICK4,6/23/2014,12.72,6,16.9,,,,20.08,2.021398286,1.918804954,N,
KLT,S,2014,KLT DICK 27 14,DICK,DICK5,6/23/2014,12.72,6,17.8,,,,20.18,2.811700138,2.707945183,N,
KLT,E,2014,KLT DICK 37 14,DICK,DICK1,6/23/2014,13.7,6,13.5,,,,18.93,-0.117073013,-0.206307677,N,
KLT,E,2014,KLT DICK 18 14,DICK,DICK1,6/24/2014,16.9,6,13.4,,,,17.33,1.538097353,1.467448663,N,
KLT,E,2014,KLT DICK 18 14,DICK,DICK2,6/24/2014,16.9,6,14.4,,,,18.71,1.024262912,0.93758382,N,
KLT,E,2014,KLT DICK 19 14,DICK,DICK1,6/24/2014,16.07,6,13.5,,,,17.29,1.681976612,1.611792572,N,
KLT,E,2014,KLT DICK 19 14,DICK,DICK2,6/24/2014,16.07,6,13.8,,,,19.87,-0.848235603,-0.948389526,N,
KLT,W,2014,KLT DICK 53 14,DICK,DICK1,7/10/2014,16.58,6,13.5,,,,20.06,-1.356662084,-1.459023092,N,8.7 (dwt)
KLT,W,2014,KLT DICK 53 14,DICK,DICK2,7/10/2014,16.58,6,15.7,,,,21.05,-0.242673749,-0.356534827,N,10.1 (dwt)
KLT,W,2014,KLT DICK 49 14,DICK,DICK1,7/11/2014,17.92,5,8.5,,,,15.34,-1.178909503,-1.226441889,N,5.5 (dwt)
KLT,W,2014,KLT DICK 49 14,DICK,DICK2,7/11/2014,17.92,5,12.4,,,,15.67,2.359086609,2.307720866,N,8 (dwt)
KLT,W,2014,KLT DICK 3 14,DICK,DICK1,6/5/2014,13.25,6,15.9,,,,21.28,-0.294979489,-0.411512301,N,Squirmier than DICK 2
KLT,W,2014,KLT DICK 3 14,DICK,DICK2,6/5/2014,13.25,6,18.7,,,,22.46,1.210582366,1.080342399,N,
KLT,W,2014,KLT DICK 14 14,DICK,DICK1,6/22/2014,14.6,6,11.1,,,,16.86,-0.246321352,-0.311510412,N,
KLT,W,2014,KLT DICK 33 14,DICK,DICK1,7/2/2014,10.7,6,10.4,,,,19.4,-3.732654308,-3.827348601,N,
KLT,W,2014,KLT DICK 71 14,DICK,DICK1,8/14/2014,9.18,5,8.6,,,,13.72,0.698200493,0.669486405,N,
KLT,W,2014,KLT DICK 71 14,DICK,DICK2,8/14/2014,9.18,5,8.7,,,,14.55,-0.112294135,-0.150649697,N,
KLT,W,2014,KLT DICK 71 14,DICK,DICK3,8/14/2014,9.18,5,10.3,,,,15.73,0.19326772,0.141205003,N,
KLT,W,2014,KLT DICK 71 14,DICK,DICK4,8/14/2014,9.18,5,10.8,,,,16.06,0.331263832,0.275367758,N,
KLT,W,2014,KLT DICK 47 14,DICK,DICK1,6/29/2014,16.67,5,8.1,,,,15.71,-1.984792651,-2.036623043,N,
KLT,W,2014,KLT DICK 47 14,DICK,DICK2,6/29/2014,16.67,6,15.6,,,,20.51,0.24969625,0.142107938,N,
KLT,W,2014,KLT DICK 47 14,DICK,DICK3,6/29/2014,16.67,6,16.1,,,,19.61,1.736979581,1.639845879,N,
KLT,W,2014,KLT DICK 7 14,DICK,,6/16/2014,11.3,6,15.5,,,,19.97,0.742066249,0.640750703,N,
KLT,W,2014,KLT DICK 7 14,DICK,,6/16/2014,11.3,7,16,,,,20.73,0.408360325,0.298216441,N,Tried to jump out of nest
KLT,W,2014,KLT DICK 7 14,DICK,,6/16/2014,11.3,7,19.1,,,,22.57,1.489914403,1.358396651,N,Struggling and agitated
KLT,W,2014,KLT DICK 24 14,DICK,,6/29/2014,14.83,5,7.8,,,,14.84,-1.330418764,-1.372143033,N,
KLT,W,2014,KLT DICK 24 14,DICK,,6/29/2014,14.83,6,15.3,,,,18.71,1.924262912,1.83758382,N,
KLT,W,2014,KLT DICK 24 14,DICK,,6/29/2014,14.83,7,16.7,,,,21.59,0.164956253,0.044822409,N,
KLT,W,2014,KLT DICK 57 14,DICK,,7/19/2014,8.92,6,13.7,,,,19.58,-0.630110975,-0.72689619,N,
KLT,S,2014,KLT DICK 52 14,DICK,,7/8/2014,15,5,7.1,,,,13.95,-1.054105248,-1.085491069,N,4.6 (dwt) -- Underdeveloped; ORIGINALLY called it day 6; changed to day 5 based on tarsus
KLT,S,2014,KLT DICK 52 14,DICK,,7/8/2014,15,6,13.5,,,,19.4,-0.632654308,-0.727348601,N,8.7 (dwt)
KLT,W,2014,KLT DICK 21 14,DICK,,6/29/2014,14.9,6,13.7,,,,16.66,2.573074944,2.51020913,N,
KLT,W,2014,KLT DICK 50 14,DICK,,7/4/2014,10.93,7,13.8,,,,21.2,-2.307220971,-2.422824484,N,
KLT,W,2014,KLT DICK 50 14,DICK,,7/4/2014,10.93,7,14.3,,,,20.47,-1.006424491,-1.113548154,N,
KLT,W,2014,KLT DICK 50 14,DICK,,7/4/2014,10.93,7,15.5,,,,20.38,0.292303842,0.186225641,N,VERY antsy
KLT,W,2014,KLT DICK 23 14,DICK,,6/25/2014,13,6,12.2,,,,17.38,0.283248279,0.212018777,N,
KLT,W,2014,KLT DICK 23 14,DICK,,6/25/2014,13,6,13.7,,,,20.11,-1.211511158,-1.314452977,N,
KLT,W,2014,KLT DICK 54 14,DICK,,7/11/2014,17.28,5,8.7,,,,13.93,0.567834382,0.536680885,N,5.6 (dwt)
KLT,W,2014,KLT DICK 54 14,DICK,,7/11/2014,17.28,5,13.2,,,,17.38,1.283248279,1.212018777,N,8.5 (dwt)
KLT,W,2014,KLT DICK 54 14,DICK,,7/11/2014,17.28,5,15.4,,,,18.17,2.616632911,2.536226585,N,9.9 (dwt)
KLT,S,2014,KLT DICK 28 14,DICK,,6/21/2014,13.35,5,11,,,,16.47,0.081501425,0.020842696,N,
KLT,S,2014,KLT DICK 5 14,DICK,,6/6/2014,13,5,10.8,,,,15.32,1.143030126,1.095730065,N,
PYN,N,2014,PYN DICK 1 14,DICK,,8/5/2014,10.5,4,7.2,,,,12.35,0.801065119,0.78826527,N,ORIGINALLY called it day 5; changed to day 4 based on tarsus
PYN,N,2014,PYN DICK 1 14,DICK,,8/5/2014,10.5,4,8,,,,13.01,0.877057343,0.85659078,N,ORIGINALLY called it day 5; changed to day 4 based on tarsus
PYN,N,2014,PYN DICK 1 14,DICK,,8/5/2014,10.5,5,8.2,,,,14.6,-0.667143209,-0.706079582,N,
PYN,N,2014,PYN DICK 1 14,DICK,,8/5/2014,10.5,5,9.4,,,,14.68,0.445098273,0.405232601,N,
RIN,E,2014,RIN DICK 1 14,DICK,,6/14/2014,10.67,6,10.3,,,,18.35,-2.680823755,-2.763321004,N,
RIN,E,2014,RIN DICK 1 14,DICK,,6/14/2014,10.67,6,13.7,,,,19.67,-0.728839308,-0.826669984,N,
RIN,E,2014,RIN DICK 1 14,DICK,,6/14/2014,10.67,6,16.6,,,,21.24,0.44889977,0.332831608,N,
RIN,E,2014,RIN DICK 2 14,DICK,,6/27/2014,13.75,6,9,,,,16.54,-1.995287278,-2.056759144,N,
RIN,E,2014,RIN DICK 2 14,DICK,,6/27/2014,13.75,7,14.1,,,,20,-0.690843196,-0.792507229,N,
RIN,E,2014,RIN DICK 2 14,DICK,,6/27/2014,13.75,6,16.1,,,,20.62,0.629028287,0.52016219,N,
RIN,E,2014,RIN DICK 2 14,DICK,,6/27/2014,13.75,7,16.8,,,,22.47,-0.700387449,-0.830743578,N,
RIN,E,2014,RIN DICK 3 14,DICK,,6/27/2014,15.07,6,17.5,,,,21.88,0.646831624,0.523329072,N,
RNR,E,2014,RNR DICK 26 14,DICK,,6/26/2014,12.75,5,14.3,,,,18.56,1.088810134,1.003873477,N,
RNR,E,2014,RNR DICK 45 14,DICK,,7/29/2014,10.5,6,11.3,,,,17.13,-0.342506351,-0.410831795,N,
RNR,E,2014,RNR DICK 45 14,DICK,,7/29/2014,10.5,6,15.1,,,,19.63,0.715039952,0.617673925,N,
RNR,C,2014,RNR DICK 41 14,DICK,,7/16/2014,15,6,13.8,,,,18.14,1.049542355,0.969484516,N,
RNR,C,2014,RNR DICK 41 14,DICK,,7/16/2014,15,6,16.5,,,,20.68,0.963209399,0.853646327,N,
RNR,C,2014,RNR DICK 41 14,DICK,,7/16/2014,15,6,17,,,,20.69,1.452239584,1.34256035,N,
RNR,E,2014,RNR DICK 1 14,DICK,,6/4/2014,12.3,6,14.3,,,,21.41,-2.037587081,-2.155630003,N,Didn't do 3 tarsus measures due to lack of time
RNR,E,2014,RNR DICK 1 14,DICK,,6/4/2014,12.3,6,15.7,,,,20.37,0.503273657,0.397311618,N,
RNR,E,2014,RNR DICK 1 14,DICK,,6/4/2014,12.3,6,17.8,,,,21.62,1.232046808,1.111564477,N,
RNR,E,2014,RNR DICK 49 14,DICK,,7/25/2014,11.21,5,9.5,,,,15.49,-0.343456725,-0.392731546,N,
RNR,E,2014,RNR DICK 49 14,DICK,,7/25/2014,11.21,5,11.4,,,,16.66,0.273074944,0.21020913,N,
RNR,E,2014,RNR DICK 49 14,DICK,,7/25/2014,11.21,5,11.9,,,,18.19,-0.905306719,-0.98594537,N,
RNR,E,2014,RNR DICK 49 14,DICK,,7/25/2014,11.21,5,13,,,,18.11,0.2824518,0.202742447,N,
RNR,E,2014,RNR DICK 12 14,DICK,,6/13/2014,16.45,6,13.8,,,,16.89,2.420769204,2.355231657,N,
RNR,E,2014,RNR DICK 12 14,DICK,,6/13/2014,16.45,6,14.5,,,,19.65,0.093100322,-0.00449803,N,
RNR,E,2014,RNR DICK 12 14,DICK,,6/13/2014,16.45,6,15.8,,,,18.76,2.369413838,2.282153934,N,
RNR,E,2014,RNR DICK 12 14,DICK,,6/13/2014,16.45,6,16.1,,,,19.53,1.824738099,1.728533696,N,
RNR,E,2014,RNR DICK 12 14,DICK,,6/13/2014,16.45,6,16.4,,,,20.01,1.59818699,1.496406794,N,
RNR,E,2014,RNR DICK 38 14,DICK,,7/16/2014,13.95,6,12.4,,,,18.22,-0.438216163,-0.519203301,N,
RNR,E,2014,RNR DICK 38 14,DICK,,7/16/2014,13.95,6,13.2,,,,19.34,-0.86683542,-0.960832739,N,
RNR,E,2014,RNR DICK 39 14,DICK,,7/16/2014,12.23,5,12.2,,,,17.46,0.195489761,0.12333096,N,
RNR,E,2014,RNR DICK 39 14,DICK,,7/16/2014,12.23,5,12.6,,,,18.41,-0.446642644,-0.529836866,N,
RNR,E,2014,RNR DICK 39 14,DICK,,7/16/2014,12.23,5,13.5,,,,19.01,-0.204831531,-0.294995494,N,
RNR,C,2014,RNR DICK 57 14,DICK,,8/21/2014,20.3,5,12.9,,,,16.66,1.773074944,1.71020913,N,
RNR,C,2014,RNR DICK 57 14,DICK,,8/21/2014,20.3,5,13.2,,,,17.54,1.107731243,1.034643143,N,
RNR,E,2014,RNR DICK 23 14,DICK,,7/5/2014,14.78,5,12.6,,,,18.22,-0.238216163,-0.319203301,N,
RNR,E,2014,RNR DICK 51 14,DICK,,7/24/2014,6,6,10.9,,,,17.21,-0.830264869,-0.899519611,N,ORIGINALLY called it day 7; changed to day 6 based on tarsus
RNR,E,2014,RNR DICK 51 14,DICK,,7/24/2014,6,7,11.9,,,,18.76,-1.530586162,-1.617846066,N,
RNR,E,2014,RNR DICK 51 14,DICK,,7/24/2014,6,7,13.5,,,,18.89,-0.073193754,-0.161963768,N,
