Nest ID,Patch,Filming session,Nest ID (Session),Species,Year,Reviewer initials,# Hosts?,# BHCO?,Avg_Age_Days,Nestling_Age_Notes,Parents return?,Can see dipping/begging,Priority,Done,Data Collection Category,Comments
235 COGR 1 21,,6/15/2021,235 COGR 1 21 (1),COGR,2021,"ESK, MFM",3,0,6,,,,High priority,1,Full data collection,"recorded unknown behavior beginning of clip 8, but nothing else in that clip"
RIE DICK 3 21,,6/14/2021,RIE DICK 3 21 (1),DICK,2021,WPT,5,1,6,,1,1,High priority,1,"Dipping 1/0, provisioning","00001, 11:07"
235 EAKI 1 21,,6/18/2021,235 EAKI 1 21 (1),EAKI,2021,ESK,3,0,5,,1,1,High priority,1,Full data collection,
RCH FISP 1 21,,7/23/2021,RCH FISP 1 21 (1),FISP,2021,HKG,2,0,6,,1,1,High priority,,"Dipping 1/0, provisioning",no data sheet - found on last day
PYN GRSP 2 21,,7/20/2021,PYN GRSP 2 21 (1),GRSP,2021,JJC,3,0,4.5,,1,1,High priority,,"Dipping 1/0, provisioning",no data sheet - found on last day
235 COGR 1 21,,6/18/2021,235 COGR 1 21 (2),COGR,2021,,2,0,9,old,,,Low priority,,Dipping 1/0,
235 EAKI 1 21,,6/19/2021,235 EAKI 1 21 (2),EAKI,2021,,3,0,6,,1,1,Medium priority,,"Dipping 1/0, provisioning",
235 GRSP 3 21,,6/10/2021,235 GRSP 3 21 (1),GRSP,2021,"TEC, HKG",5,0,6,,,,High priority,1,Full data collection,Clip 8 21 minutes long so we added 1 minute to every time after that
235 EAME 1 21,,6/15/2021,235 EAME 1 21 (1),EAME,2021,WPT,1,0,6,,1,1,High priority,,"Dipping 1/0, provisioning",Clip 2
BSH FISP 1 21,,6/4/2021,BSH FISP 1 21 (1),FISP,2021,MFM,1,2,5.333333333,"5,5,6",,,High priority,1,Full data collection,
KELL BOBO 1 21,,6/8/2021,KELL BOBO 1 21 (1),BOBO,2021,JJC,6,0,4.833333333,"5,5,5,5,5,4",1,1,High priority,1,"Dipping 1/0, provisioning",I don't think we should use this one for begging - dipping okay though
235 GRSP 2 21,,6/14/2021,235 GRSP 2 21 (2),GRSP,2021,,0,3,6.5,,1,1,Medium priority,,"Dipping 1/0, provisioning",
KELL RWBL 4 21,,6/2/2021,KELL RWBL 4 21 (1),RWBL,2021,ESK,3,0,8.5,,,,High priority,1,Full data collection,
235 GRSP 3 21,,6/11/2021,235 GRSP 3 21 (2),GRSP,2021,,5,0,7,,1,1,Medium priority,,"Dipping 1/0, provisioning",
GIL DICK 2 21,,7/12/2021,GIL DICK 2 21 (2),DICK,2021,,3,0,5.666666667,"5,6,6",1,1,Low priority,,Full data collection,
GIL DICK 4 21,,7/8/2021,GIL DICK 4 21 (1),DICK,2021,,3,0,2.666666667,,0,NA,Do not use,,Do not use,
KLT EAME 1 21,,6/1/2021,KLT EAME 1 21 (1),EAME,2021,WPT,2,0,3.5,,1,1,High priority,1,"Dipping 1/0, provisioning","00002, 13:36"
KLT RWBL 10 21,,6/9/2021,KLT RWBL 10 21 (1),RWBL,2021,"ESK,JJC,HKG",3,0,3.5,,,,High priority,1,Full data collection,
GIL RWBL 1 21,,7/4/2021,GIL RWBL 1 21 (1),RWBL,2021,HKG,3,0,5.166666667,"5.5,4.5,5.5",1,1,High priority,,Full data collection,
KLT RWBL 2 21,,6/12/2021,KLT RWBL 2 21 (1),RWBL,2021,MFM,3,0,7,,,,High priority,1,Full data collection,
KLT RWBL 3 21,,5/29/2021,KLT RWBL 3 21 (1),RWBL,2021,"CER, TEC",4,0,1.5,,,,High priority,1,Full data collection,Chicks not visible
GIL DICK 4 21,,7/9/2021,GIL DICK 4 21 (2),DICK,2021,,3,0,3.666666667,"3,3,5",0,NA,Do not use,,Do not use,
KLT RWBL 4 21,,5/30/2021,KLT RWBL 4 21 (2),RWBL,2021,MFM,2,0,7,,,,High priority,1,Full data collection,
KLT RWBL 4 21,,5/29/2021,KLT RWBL 4 21 (1),RWBL,2021,"HKG, ESK",2,0,6,,,,Low priority,1,Full data collection,Date said wrong in the video
KLT RWBL 6 21,,6/11/2021,KLT RWBL 6 21 (1),RWBL,2021,WPT,4,0,7,,,,High priority,1,Full data collection,"25June finished clip 2 (DCBA), finish clip 4, 8-31 I did clip 5 and 6, 8 Dec 2021 (clip 7), 14 dec finished clip 8, 15 dec finished clip 9, 23, 24 dec finished clip 10,11, 26 dec clip 12, Jan 3ed clip 13 finished, Jan 5th finished clip 14 and 15, Jan 10 - clip 17 finished!!!! Had some trouble saving clip 16 and 17.  I tried to fish it.  Hope everything s OK, if not I have it in my notebook."
KELL RWBL 5 21,,7/2/2021,KELL RWBL 5 21 (1),RWBL,2021,JJC,2,1,7,,1,1,High priority,1,Full data collection,
KELL BOBO 1 21,,6/10/2021,KELL BOBO 1 21 (2),BOBO,2021,,5,0,6.8,"7,7,7,7,6",1,1,Medium priority,,"Dipping 1/0, provisioning",
